,Poster_Link,Series_Title,Released_Year,Runtime,Genre,Rating,Overview,Director,Star1,Star2
798,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/c5b6c0c7-f300-4c3d-99f2-cd09801ff43f/300x450,Винни Пух,1969,11 мин,"мультфильм, детский, короткометражка",8.8,"Первый фильм из серии о забавном медвежонке и его друзьях. Фильм снят по сказке Алана Милна. Глава, в которой происходит знакомство с Винни-Пухом и подозрительными пчелами.",Фёдор Хитрук,Евгений Леонов,Ия Саввина
799,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/d8cf9725-c27b-47de-9d65-67b5277c11ed/300x450,Бременские музыканты,1969,20 мин,"мультфильм, детский, короткометражка, мюзикл, фэнтези",8.3,"Музыкальная фантазия, любимая не одним поколением зрителей, о необыкновенных, очень опасных и веселых приключениях бременских музыкантов: Трубадура, кота, собаки, петуха и осла. Музыканты путешествуют по Германии времен братьев Гримм и поют вполне современные песни. Время от времени совершают подвиги. Все было хорошо, но во время одного циркового представления приглянулась нашему герою принцесса...",Инесса Ковалевская,Эльмира Жерздева,Олег Анофриев
800,https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/e4eec3b9-cb0b-481c-bd2f-b80bdb67a3a8/300x450,12 стульев,1971,2 ч 33 мин,"комедия, приключения, криминал",8.3,"Во время революции и последовавшего за ней краткого периода военного коммунизма многие прятали свои ценности как можно надежнее. И вот Ипполит Матвеевич Воробьянинов, бывший Старгородский предводитель дворянства и светский лев, а ныне - скромный делопроизводитель ЗАГСа, узнает от умирающей тещи, что некогда она спрятала свои бриллианты и жемчуга в общей сложности на 150 000 золотых рублей под обивку одного из двенадцати стульев гостиного гарнитура работы известного мастера Гамбса. Бросив все, Воробьянинов бросается на поиски стульев, в чем ему, конечно же, небескорыстно, берется помочь молодой авантюрист, «великий комбинатор» Остап Бендер. Найти следы разрозненного гарнитура непросто. Не облегчает положения и то, что перед смертью теща Воробьянинова открыла тайну сокровищ и своему исповеднику, отцу Федору, всю жизнь мечтавшему о собственном свечном заводике в Самаре...",Леонид Гайдай,Арчил Гомиашвили,Сергей Филиппов
801,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/f08ba921-02dd-4d19-9c15-757e040335d6/300x450,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (ТВ,1981,2 ч 34 мин,"детектив, криминал",8.6,"Труп Чарльза Баскервиля обнаруживают неподалеку от его родового поместья. Выражение нечеловеческого ужаса на лице покойника и следы крупной собаки поблизости заставляют вспомнить старинную легенду о проклятии, тяготеющем над родом Баскервилей. Шерлоку Холмсу предстоит докопаться до истины.",Игорь Масленников,Василий Ливанов,Виталий Соломин
802,https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/4495b850-219d-4ca3-a2d8-ada7c8c2824f/300x450,Кин-дза-дза!,1986,2 ч 15 мин,"фантастика, драма, комедия",8.1,"Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическими путешествиями. А все эта встреча со странным босоногим человеком с каким-то маленьким устройством — «машинкой перемещения», как тот ее назвал. Владимир Николаевич нажал кнопку и оказался вместе со случайным попутчиком, студентом в кроличьей шапке, в пустыне — на планете Плюк в тентуре, галактика Кин-дза-дза в спирали.",Георгий Данелия,Станислав Любшин,Евгений Леонов
803,https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/7d011306-5cf5-421d-b01d-3684e500be92/300x450,...А зори здесь тихие,1972,2 ч 40 мин,"драма, военный, история",8.6,"В прифронтовой полосе группа девушек-зенитчиц вынуждена вступить в неравный бой с вражескими десантниками. Эти девчонки мечтали о большой любви, нежности, семейном тепле - но на их долю выпала жестокая война, и они до конца выполнили свой воинский долг…",Станислав Ростоцкий,Елена Драпеко,Екатерина Маркова
804,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/908f8e1a-0a4d-4f2b-9725-228ce96f0c62/300x450,Афоня,1975,1 ч 32 мин,"драма, мелодрама, комедия",8.1,"Слесарь-сантехник ЖЭКа Афанасий Борщев, которого жильцы запросто зовут Афоня, — человек открытой и доброй души. Живет он, правда, бездумно и легко, но, может быть, именно потому бывает ему порой тоскливо. Тогда он наведывается в местную пивную, где есть у него друг Федул. Однажды на танцах он знакомится с милой и трогательной девушкой Катей, полюбившей Афоню. Но он избегает ее, так как сердце его пленила хозяйка квартиры 58, красавица Елена. Однако вскоре выясняется, что она замужем. Почувствовав себя одиноким и никому не нужным, он едет в деревню к тетке.",Георгий Данелия,Леонид Куравлёв,Евгения Симонова
805,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/4b7474d3-597c-424c-8cae-8553306a83b9/300x450,Морозко,1964,1 ч 24 мин,"фэнтези, мелодрама, детский, комедия, семейный",8.1,"Жила-была хорошая добрая девушка Настенька. Злая мачеха заставляла ее работать, не давая продыху. Однажды она решила избавиться от падчерицы и отправила ту замерзать в зимний лес. В этих же краях жил паренек Иван. Он полюбил Настеньку, да вот только был он большим хвастуном, потому лесной колдун и превратил его в медведя.",Александр Роу,Александр Хвыля,Наталья Седых
806,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/c5ee4880-336c-428e-9829-029bb54bcf17/300x450,Шерлок Холмс и доктор Ватсон: Знакомство (ТВ,1979,1 ч 8 мин,"криминал, детектив",8.6,"Молодой доктор по фамилии Ватсон возвратился из Афганистана в родной туманный Лондон. Ему нужно недорогое жилье. И вот, по совету друга, он поселяется в маленьком домике на Бейкер-стрит. Его хозяйка - милая чудаковатая старушка миссис Хадсон. Также там имеется сосед - некий мистер Шерлок Холмс. Это непонятная и таинственная личность - к нему в гости приходят оборванцы и бандиты, а иногда полицейские и лорды. Кто же он? Доктор в растерянности...",Игорь Масленников,Василий Ливанов,Виталий Соломин
807,https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/d19e86fa-d216-4286-8add-8c38c3a63bfc/300x450,Бобик в гостях у Барбоса,1977,9 мин,"мультфильм, детский, короткометражка, комедия",8.4,"Рано утром дедушка выгуливает своего домашнего любимца — пса Барбоса. Потом оставляет его одного дома, а сам уходит до вечера, оставив Барбоса «за хозяина». Псу скучно одному, и он приглашает в гости дворнягу Бобика. Перед гостем Барбос начинает строить из себя настоящего хозяина квартиры...",Владимир Попов,Юрий Никулин,Олег Табаков
808,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/133a55fe-1c86-4b7b-a413-c70ff60da60f/300x450,Тайна третьей планеты,1981,50 мин,"мультфильм, фантастика, приключения, семейный, детский",8.2,"Приключения девочки Алисы, ее ученого папы и меланхолика капитана Зеленого, а также добродушного чудовища Громозеки и птицы Говоруна, который, как известно, отличается умом и сообразительностью.",Роман Качанов,Ольга Громова,Всеволод Ларионов
809,https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/23b79e0e-64d3-4b57-8638-d7d7ded55814/300x450,Каникулы в Простоквашино,1980,18 мин,"мультфильм, детский, короткометражка",8.8,"Заболевший дядя Федор был увезен в первом мультфильме родителями в город, а заблудшая на участок корова стала давать огромное количество молока. Шарик и кот Матроскин вяло поругивались, но жили в целом мирно. А тем временем мама решила поехать на курорт, чтобы износить четыре вечерних платья, а на вокзале дядя Федор сбежал и укатил в Простоквашино к своим старым друзьям. Шарику прислали фоторужье, Корова родила теленка, которого Шарик учил служить. Много было веселых и славных событий, а под конец и мама приехала с папой. Если бы у нее была вторая жизнь, она бы ее провела в Простоквашино.",Владимир Попов,Олег Табаков,Лев Дуров
810,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/d048a6d1-16a9-445e-821d-fce1742d6309/300x450,Белое солнце пустыни,1969,1 ч 24 мин,"боевик, драма, мелодрама, комедия, приключения, военный",8.1,"Бесконечная пустыня. Боец Сухов, прикуривающий от динамитной шашки, нескладный Петруха с вечно заклинивающей трехлинейкой, обаятельный Верещагин с надоевшей черной икрой и знаменитыми песнями-балладами, ловкий Саид , злодей Абдулла со своей бандой, любознательная Гульчатай, играющая с черепахой.",Владимир Мотыль,Анатолий Кузнецов,Спартак Мишулин
811,https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/9b6cd3e3-7ba2-4fbb-a268-3c8cad291eb5/300x450,Зима в Простоквашино,1984,15 мин,"мультфильм, детский, короткометражка",8.8,"Шарик купил себе на зиму вместо валенок кеды, Матроскин обозвал его балбесом, и друзья друг с другом не разговаривали. Дядя Федор тем временем ремонтировал с папой «запорожца», а маме все надоело. А на Новый год папа с Федором решили поехать в Простоквашино проведать Шарика с Матроскиным, которые уже начали раздел имущества… Там все и встретили Новый Год — даже мама на лыжах приехала!",Владимир Попов,Мария Виноградова,Олег Табаков
812,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/537c0bc2-f5c3-4a17-adc5-f90591bf5aae/300x450,Офицеры,1971,1 ч 31 мин,"драма, военный, мелодрама",8.5,"Судьбы двух друзей - Алексея Трофимова и Ивана Вараввы - прослеживаются на протяжении многих лет. В 20-е они вместе служили на пограничной заставе, бились с басмачами. Там они, будучи еще совсем молодыми, на всю жизнь запомнили наказ своего командира: «Есть такая профессия - родину защищать». Потом Испания, Великая Отечественная война и мирные дни. Старые друзья снова встречаются, уже став генералами.",Владимир Роговой,Георгий Юматов,Василий Лановой
813,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/9e573bcc-26b3-40b9-b50e-e690a1bc1143/300x450,"Добро пожаловать, или Посторонним вход воспрещен",1964,1 ч 11 мин,"комедия, семейный",8.3,"Пионер Костя Иночкин, будучи в пионерском лагере, переплыл реку и оказался на запретной для посещений территории, за что и был изгнан его начальником товарищем Дыниным. Не желая доводить бабушку до инфаркта своим досрочным прибытием, мальчик тайно возвращается в лагерь, где пионеры так же тайно содержат его и предпринимают все меры, чтобы не состоялся родительский день. Ведь именно в этот день Костина бабушка заявится в лагерь...",Элем Климов,Виктор Косых,Евгений Евстигнеев
